#  E (eV)   dos(E)     Int dos(E)
   -0.549967051  0.43613567E-84  0.22000419E+02
   -0.413910119  0.43613567E-84  0.22000419E+02
   -0.277853188  0.43613567E-84  0.22000419E+02
   -0.141796257  0.43613567E-84  0.22000419E+02
   -0.005739326  0.43613567E-84  0.22000419E+02
    0.130317606  0.43613567E-84  0.22000419E+02
    0.266374537  0.43613567E-84  0.22000419E+02
    0.402431468  0.43613567E-84  0.22000419E+02
    0.538488399  0.43613567E-84  0.22000419E+02
    0.674545330  0.43613567E-84  0.22000419E+02
    0.810602262  0.43613567E-84  0.22000419E+02
    0.946659193  0.43613567E-84  0.22000419E+02
    1.082716124  0.43613567E-84  0.22000419E+02
    1.218773055  0.43613567E-84  0.22000419E+02
    1.354829987  0.43614737E-84  0.22000419E+02
    1.490886918  0.17961904E-76  0.22000419E+02
    1.626943849  0.16778998E-65  0.22000419E+02
    1.763000780  0.21424480E-55  0.22000419E+02
    1.899057711  0.37463374E-46  0.22000419E+02
    2.035114643  0.89935878E-38  0.22000419E+02
    2.171171574  0.29739587E-30  0.22000419E+02
    2.307228505  0.13608515E-23  0.22000419E+02
    2.443285436  0.86739254E-18  0.22000419E+02
    2.579342368  0.77768273E-13  0.22000419E+02
    2.715399299  0.99595245E-09  0.22000419E+02
    2.851456230  0.18693037E-05  0.22000419E+02
    2.987513161  0.53877935E-03  0.22000492E+02
    3.123570093  0.26197569E-01  0.22004057E+02
    3.259627024  0.26467399E+00  0.22040067E+02
    3.395683955  0.88743046E+00  0.22160808E+02
    3.531740886  0.21501264E+01  0.22453348E+02
    3.667797817  0.44260783E+01  0.23055547E+02
    3.803854749  0.54049627E+01  0.23790929E+02
    3.939911680  0.55283247E+01  0.24543096E+02
    4.075968611  0.62763736E+01  0.25397040E+02
    4.212025542  0.85071884E+01  0.26554502E+02
    4.348082474  0.13199306E+02  0.28350359E+02
    4.484139405  0.14585627E+02  0.30334835E+02
    4.620196336  0.97605661E+01  0.31662828E+02
    4.756253267  0.60739563E+01  0.32489231E+02
    4.892310199  0.68223811E+01  0.33417464E+02
    5.028367130  0.70054455E+01  0.34370603E+02
    5.164424061  0.70271405E+01  0.35326694E+02
    5.300480992  0.86498739E+01  0.36503570E+02
    5.436537923  0.10415449E+02  0.37920664E+02
    5.572594855  0.91567218E+01  0.39166499E+02
    5.708651786  0.50140154E+01  0.39848691E+02
    5.844708717  0.10584422E+01  0.39992699E+02
    5.980765648  0.56355686E-01  0.40000367E+02
    6.116822580  0.59210439E-03  0.40000447E+02
    6.252879511  0.10665232E-05  0.40000447E+02
    6.388936442  0.30207163E-09  0.40000447E+02
    6.524993373  0.12742713E-13  0.40000447E+02
    6.661050305  0.77428004E-19  0.40000447E+02
    6.797107236  0.66397711E-25  0.40000447E+02
    6.933164167  0.79354298E-32  0.40000447E+02
    7.069221098  0.13113268E-39  0.40000447E+02
    7.205278029  0.29808211E-48  0.40000447E+02
    7.341334961  0.92882758E-58  0.40000447E+02
    7.477391892  0.39577856E-68  0.40000447E+02
    7.613448823  0.23021366E-79  0.40000447E+02
    7.749505754  0.43613567E-84  0.40000447E+02
    7.885562686  0.43613567E-84  0.40000447E+02
    8.021619617  0.43613567E-84  0.40000447E+02
    8.157676548  0.43613567E-84  0.40000447E+02
    8.293733479  0.43613567E-84  0.40000447E+02
    8.429790411  0.16127178E-82  0.40000447E+02
    8.565847342  0.37587995E-71  0.40000447E+02
    8.701904273  0.12299171E-60  0.40000447E+02
    8.837961204  0.55067216E-51  0.40000447E+02
    8.974018135  0.33811383E-42  0.40000447E+02
    9.110075067  0.28552041E-34  0.40000447E+02
    9.246131998  0.33288727E-27  0.40000447E+02
    9.382188929  0.53874562E-21  0.40000447E+02
    9.518245860  0.12198130E-15  0.40000447E+02
    9.654302792  0.39102400E-11  0.40000447E+02
    9.790359723  0.18092706E-07  0.40000447E+02
    9.926416654  0.12498669E-04  0.40000449E+02
   10.062473585  0.13754076E-02  0.40000636E+02
   10.198530517  0.27647594E-01  0.40004398E+02
   10.334587448  0.13704412E+00  0.40023044E+02
   10.470644379  0.28970153E+00  0.40062460E+02
   10.606701310  0.44962646E+00  0.40123634E+02
   10.742758241  0.61729425E+00  0.40207622E+02
   10.878815173  0.79032348E+00  0.40315150E+02
   11.014872104  0.97900224E+00  0.40448351E+02
   11.150929035  0.11978806E+01  0.40611330E+02
   11.286985966  0.14944435E+01  0.40814660E+02
   11.423042898  0.20843736E+01  0.41098253E+02
   11.559099829  0.31502839E+01  0.41526871E+02
   11.695156760  0.44761053E+01  0.42135876E+02
   11.831213691  0.59492830E+01  0.42945318E+02
   11.967270623  0.66721294E+01  0.43853107E+02
   12.103327554  0.65792996E+01  0.44748266E+02
   12.239384485  0.59002770E+01  0.45551040E+02
   12.375441416  0.44740943E+01  0.46159772E+02
   12.511498347  0.41124397E+01  0.46719297E+02
   12.647555279  0.50287158E+01  0.47403489E+02
   12.783612210  0.57423124E+01  0.48184771E+02
   12.919669141  0.50082187E+01  0.48866173E+02
   13.055726072  0.39360911E+01  0.49401706E+02
   13.191783004  0.24486182E+01  0.49734857E+02
   13.327839935  0.16575198E+01  0.49960374E+02
   13.463896866  0.16335707E+01  0.50182633E+02
   13.599953797  0.19724010E+01  0.50450992E+02
   13.736010729  0.27993908E+01  0.50831868E+02
   13.872067660  0.34385389E+01  0.51299705E+02
   14.008124591  0.28867281E+01  0.51692465E+02
   14.144181522  0.23493250E+01  0.52012107E+02
   14.280238453  0.25531528E+01  0.52359481E+02
   14.416295385  0.41006661E+01  0.52917405E+02
   14.552352316  0.61941285E+01  0.53760159E+02
   14.688409247  0.65533561E+01  0.54651789E+02
   14.824466178  0.64652975E+01  0.55531437E+02
   14.960523110  0.63553429E+01  0.56396126E+02
